id,sku,modelno,price,time
Cerrowire-250-ft-14-2-White-NM-B-Wire-147-1472G,202304609,147-1472G,37.17,2017-02-03T16:46:25Z
Cerrowire-250-ft-12-2-NM-B-Wire-147-1672G,202304610,147-1672G,57.24,2017-02-03T16:46:26Z
Romex-1000-ft-12-2-Solid-SIMpull-NM-B-Wire-28828201,202316226,28828201,229.0,2017-02-03T16:46:27Z
Romex-250-ft-14-3-Solid-SIMpull-NM-B-W-G-Wire-63946855,202316275,63946855,62.47,2017-02-03T16:46:28Z
Cerrowire-250-ft-14-3-NM-B-Wire-147-1463G,202304612,147-1463G,62.47,2017-02-03T16:46:29Z
Cerrowire-15-ft-12-2-Yellow-NM-B-Wire-147-1602A3,202564826,147-1602A3,10.47,2017-02-03T16:46:30Z
Cerrowire-15-ft-12-3-NM-B-Wire-147-1603A3,202564822,147-1603A3,18.37,2017-02-03T16:46:30Z
Cerrowire-15-ft-14-3-NM-B-Wire-147-1403A3,202564821,147-1403A3,10.67,2017-02-03T16:46:31Z
Cerrowire-100-ft-6-Gauge-Red-Stranded-THHN-Wire-112-4203C,202564817,112-4203C,65.97,2017-02-03T16:46:32Z
Cerrowire-50-ft-6-1-Black-Stranded-THHN-Wire-112-4201B,202564810,112-4201B,37.47,2017-02-03T16:46:33Z
Cerrowire-50-ft-6-Gauge-White-Stranded-THHN-Wire-112-4202B,202564813,112-4202B,37.47,2017-02-03T16:46:34Z
Cerrowire-25-ft-6-1-White-Stranded-THHN-Wire-112-4202A,202564812,112-4202A,20.97,2017-02-03T16:46:35Z
Cerrowire-25-ft-6-19-Green-Stranded-THHN-Wire-112-4205A,202564818,112-4205A,20.97,2017-02-03T16:46:36Z
Southwire-1-000-ft-14-2-White-Solid-CU-NM-B-Wire-28827401,202316473,28827401,149.0,2017-02-03T16:46:37Z
Cerrowire-250-ft-12-3-NM-B-Wire-147-1663G,202304613,147-1663G,108.0,2017-02-03T16:46:38Z
Romex-250-ft-12-3-Solid-SIMpull-NM-B-W-G-Wire-63947655,202316276,63947655,108.0,2017-02-03T16:46:39Z
Romex-100-ft-12-2-Yellow-Solid-SIMpull-NM-B-Wire-28828228,202316375,28828228,41.17,2017-02-03T16:46:40Z
Romex-100-ft-14-2-White-Solid-SIMpull-NM-B-Wire-28827428,202316379,28827428,26.77,2017-02-03T16:46:41Z
Romex-50-ft-12-2-Soild-SIMpull-CU-NM-B-Wire-28828222,202316374,28828222,27.97,2017-02-03T16:46:41Z
Cerrowire-50-ft-12-2-NM-B-Wire-Yellow-147-1602BR,202206559,147-1602BR,27.97,2017-02-03T16:46:42Z
Romex-125-ft-6-3-Black-Stranded-CU-SIMpull-NM-B-W-G-Wire-63950002,202316279,63950002,209.0,2017-02-03T16:46:43Z
Cerrowire-250-ft-10-2-NM-B-Wire-147-1862G,202304611,147-1862G,117.0,2017-02-03T16:46:44Z
Romex-250-ft-10-2-Solid-SIMpull-NM-B-W-G-Wire-28829055,202316274,28829055,117.0,2017-02-03T16:46:47Z
Romex-50-ft-14-2-White-Solid-SIMpull-NM-B-Wire-28827422,202316377,28827422,17.87,2017-02-03T16:46:48Z
Romex-25-ft-12-2-Yellow-Solid-SIMpull-NM-B-Wire-28828221,202316378,28828221,14.57,2017-02-03T16:46:49Z
Cerrowire-25-ft-10-2-NM-B-Wire-Orange-147-1802AR,202206564,147-1802AR,27.57,2017-02-03T16:46:50Z
Cerrowire-100-ft-12-3-NM-B-Wire-147-1603CR,202206563,147-1603CR,81.97,2017-02-03T16:46:51Z
Cerrowire-50-ft-10-2-NM-B-Wire-Orange-147-1802BR,202206565,147-1802BR,51.97,2017-02-03T16:46:52Z
Cerrowire-50-ft-12-3-NM-B-Wire-Yellow-147-1603BR,202206562,147-1603BR,51.74,2017-02-03T16:46:53Z
Romex-250-ft-12-2-2-Pack-Yellow-CU-SIMpull-NM-B-Wire-28828258,206647943,28828258,106.0,2017-02-03T16:46:54Z
Cerrowire-25-ft-12-2-NM-B-Wire-Yellow-147-1602AR,202206558,147-1602AR,14.57,2017-02-03T16:46:55Z
Cerrowire-100-ft-14-3-NM-B-Wire-White-147-1403CR,202206557,147-1403CR,47.37,2017-02-03T16:46:56Z
Cerrowire-50-ft-14-2-NM-B-Wire-147-1402BR,202206553,147-1402BR,17.87,2017-02-03T16:46:59Z
Romex-125-ft-8-3-Black-Stranded-SIMpull-NM-B-W-G-Wire-63949202,202316278,63949202,153.0,2017-02-03T16:46:59Z
Romex-250-ft-10-3-Solid-SIMpull-NM-B-W-G-Wire-63948455,202316277,63948455,169.0,2017-02-03T16:47:00Z
Cerrowire-250-ft-10-3-NM-B-Wire-Orange-147-1863G,202304614,147-1863G,169.0,2017-02-03T16:47:01Z
Southwire-500-ft-12-White-Stranded-THHN-Wire-22965858,203401697,22965858,50.97,2017-02-03T16:47:02Z
Cerrowire-100-ft-10-3-NM-B-Wire-147-1803CR,202206569,147-1803CR,101.0,2017-02-03T16:47:03Z
Southwire-100-ft-10-3-Solid-SIMpull-NM-B-wire-63948426,202316240,63948426,101.0,2017-02-03T16:47:04Z
Cerrowire-50-ft-10-3-NM-B-Wire-Orange-147-1803BR,202206568,147-1803BR,67.47,2017-02-03T16:47:05Z
Romex-50-ft-10-3-solid-Cu-SIMpull-NM-B-wire-63948422,202316239,63948422,67.47,2017-02-03T16:47:06Z
Southwire-125-ft-6-2-Black-Stranded-CU-SIMpull-NM-B-Wire-28894402,202316592,28894402,137.0,2017-02-03T16:47:07Z
Southwire-125-ft-8-2-Black-Stranded-NM-B-Wire-28893602,202316591,28893602,95.47,2017-02-03T16:47:08Z
Southwire-500-ft-12-Black-Stranded-THHN-Wire-22964158,203401696,22964158,50.97,2017-02-03T16:47:09Z
Southwire-500-ft-3-Black-Stranded-THHN-Wire-24346901,202316571,24346901,376.0,2017-02-03T16:47:10Z
Southwire-50-ft-6-3-Black-Stranded-CU-SIMpull-NM-B-Wire-63950032,204765156,63950032,113.0,2017-02-03T16:47:11Z
Southwire-25-ft-14-2-Solid-SIMpull-CU-NM-B-Wire-28827421,202316376,28827421,9.47,2017-02-03T16:47:12Z
Cerrowire-25-ft-14-2-NM-B-Wire-147-1402AR,202206552,147-1402AR,9.47,2017-02-03T16:47:12Z
Romex-100-ft-10-2-solid-SIMpull-NM-B-Cable-28829028,202316241,28829028,88.97,2017-02-03T16:47:13Z
Cerrowire-100-ft-10-2-NM-B-Wire-Orange-147-1802CR,202206566,147-1802CR,88.97,2017-02-03T17:29:24Z
Southwire-50-ft-8-3-Black-Stranded-CU-SIMpull-NM-B-Wire-63949232,204765155,63949232,97.47,2017-02-03T17:29:25Z
Southwire-500-ft-12-Green-Stranded-THHN-Wire-22968258,203401700,22968258,50.97,2017-02-03T17:29:26Z
Romex-50-ft-10-2-Solid-SIMpull-NM-B-Wire-28829022,202316205,28829022,51.97,2017-02-03T17:29:27Z
Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257,202316335,22973257,75.47,2017-02-03T17:29:28Z
Southwire-500-ft-12-White-Solid-THHN-Wire-11588158,203401606,11588158,45.57,2017-02-03T17:29:30Z
Cerrowire-50-ft-14-3-NM-B-Wire-White-147-1403BR,202206556,147-1403BR,29.97,2017-02-03T17:29:30Z
Romex-50-ft-14-3-Solid-SIMpull-NM-B-Wire-63946822,202316552,63946822,29.97,2017-02-03T17:29:31Z
Romex-50-ft-12-3-Yellow-Solid-SIMpull-NM-B-Wire-63947622,202316449,63947622,51.74,2017-02-03T17:29:33Z
Southwire-500-ft-12-Black-Solid-THHN-Wire-11587358,203401604,11587358,45.57,2017-02-03T17:29:33Z
