id,sku,modelno,price,time
Cerrowire-250-ft-12-2-NM-B-Wire-147-1672G,202304610,147-1672G,57.24,2017-02-08T23:14:23Z
Southwire-250-ft-14-2-Gauge-White-Solid-NM-B-W-G-Romex-Cable-28827455,100010980,28827455,37.17,2017-02-08T23:14:24Z
Cerrowire-250-ft-14-2-White-NM-B-Wire-147-1472G,202304609,147-1472G,37.17,2017-02-08T23:14:25Z
Romex-250-ft-14-3-Solid-SIMpull-NM-B-W-G-Wire-63946855,202316275,63946855,62.47,2017-02-08T23:14:27Z
Cerrowire-250-ft-14-3-NM-B-Wire-147-1463G,202304612,147-1463G,62.47,2017-02-08T23:14:28Z
Southwire-250-ft-12-2-solid-CU-MC-Lite-Cable-68580055,202316559,68580055,104.0,2017-02-08T23:14:28Z
AFC-Cable-Systems-12-2-x-250-ft-Solid-MC-Lite-Cable-2104S42-AFC,205015271,2104S42-AFC,104.0,2017-02-08T23:14:30Z
Romex-1000-ft-12-2-Solid-SIMpull-NM-B-Wire-28828201,202316226,28828201,229.0,2017-02-08T23:14:31Z
Cerrowire-250-ft-12-3-NM-B-Wire-147-1663G,202304613,147-1663G,108.0,2017-02-08T23:14:32Z
Romex-250-ft-12-3-Solid-SIMpull-NM-B-W-G-Wire-63947655,202316276,63947655,108.0,2017-02-08T23:14:33Z
Southwire-1-000-ft-14-2-White-Solid-CU-NM-B-Wire-28827401,202316473,28827401,149.0,2017-02-08T23:14:34Z
Romex-125-ft-6-3-Black-Stranded-CU-SIMpull-NM-B-W-G-Wire-63950002,202316279,63950002,209.0,2017-02-08T23:14:35Z
Southwire-250-ft-12-3-Solid-CU-MC-Lite-Cable-68583401,202316560,68583401,179.0,2017-02-08T23:14:36Z
Romex-250-ft-10-2-Solid-SIMpull-NM-B-W-G-Wire-28829055,202316274,28829055,117.0,2017-02-08T23:14:37Z
Cerrowire-250-ft-10-2-NM-B-Wire-147-1862G,202304611,147-1862G,117.0,2017-02-08T23:14:38Z
Romex-125-ft-8-3-Black-Stranded-SIMpull-NM-B-W-G-Wire-63949202,202316278,63949202,153.0,2017-02-08T23:14:39Z
Romex-250-ft-10-3-Solid-SIMpull-NM-B-W-G-Wire-63948455,202316277,63948455,169.0,2017-02-08T23:14:40Z
Cerrowire-250-ft-10-3-NM-B-Wire-Orange-147-1863G,202304614,147-1863G,169.0,2017-02-08T23:14:42Z
AFC-Cable-Systems-12-3-x-250-ft-Solid-MC-Lite-Cable-2105S42-AFC,205015273,2105S42-AFC,179.0,2017-02-08T23:14:43Z
Southwire-500-ft-12-White-Stranded-THHN-Wire-22965858,203401697,22965858,50.97,2017-02-08T23:14:45Z
Southwire-125-ft-6-2-Black-Stranded-CU-SIMpull-NM-B-Wire-28894402,202316592,28894402,137.0,2017-02-08T23:14:45Z
Southwire-125-ft-8-2-Black-Stranded-NM-B-Wire-28893602,202316591,28893602,95.47,2017-02-08T23:14:47Z
Southwire-500-ft-12-Black-Stranded-THHN-Wire-22964158,203401696,22964158,50.97,2017-02-08T23:14:48Z
Southwire-250-ft-12-2-Gray-Solid-UF-B-W-G-Cable-13055955,202316281,13055955,105.0,2017-02-08T23:14:49Z
Cerrowire-25-ft-12-19-Red-Stranded-THHN-Wire-112-3603A,202564787,112-3603A,6.62,2017-02-08T23:14:50Z
Romex-15-ft-12-2-Soild-SIMpull-NM-B-Wire-28828226,202210508,28828226,10.47,2017-02-08T23:14:50Z
Cerrowire-100-ft-8-Gauge-Red-Stranded-THHN-Wire-112-4003C,202564808,112-4003C,46.17,2017-02-08T23:14:52Z
Cerrowire-50-ft-8-Gauge-Black-Stranded-THHN-Wire-112-4001B,202564798,112-4001B,25.97,2017-02-08T23:14:53Z
Cerrowire-2500-ft-12-19-White-Stranded-THHN-Wire-112-3602M,204358909,112-3602M,270.0,2017-02-08T23:14:54Z
Southwire-500-ft-12-White-Solid-THHN-Wire-11588158,203401606,11588158,45.57,2017-02-08T23:14:56Z
Southwire-500-ft-12-Green-Stranded-THHN-Wire-22968258,203401700,22968258,50.97,2017-02-08T23:14:57Z
AFC-Cable-Systems-14-2-x-250-ft-Solid-MC-Lite-Cable-2101S42-AFC,205015266,2101S42-AFC,98.47,2017-02-08T23:14:58Z
Southwire-250-ft-14-2-Solid-CU-MC-Lite-Cable-68579201,202316557,68579201,98.47,2017-02-08T23:14:59Z
Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257,202316335,22973257,75.47,2017-02-08T23:15:01Z
AFC-Cable-Systems-12-2-x-250-ft-BX-AC-90-Solid-Cable-1404N42-AFC,205070960,1404N42-AFC,99.0,2017-02-08T23:15:02Z
Southwire-250-ft-12-2-Solid-Cu-BX-AC-90-Cable-61023101,202562780,61023101,106.09,2017-02-08T23:15:03Z
Southwire-500-ft-12-Black-Solid-THHN-Wire-11587358,203401604,11587358,45.57,2017-02-08T23:15:04Z
Southwire-500-ft-4-Black-Stranded-THHN-Wire-20499001,202316585,20499001,324.0,2017-02-08T23:15:05Z
Southwire-500-ft-12-Red-Stranded-THHN-Wire-22966658,203401699,22966658,50.97,2017-02-08T23:15:06Z
Southwire-500-ft-12-Green-Solid-THHN-Wire-11591558,203401610,11591558,45.57,2017-02-08T23:15:06Z
Southwire-500-ft-8-Black-Stranded-CU-THHN-Wire-20488312,202316337,20488312,128.0,2017-02-08T23:15:07Z
Southwire-500-ft-10-White-Stranded-CU-THHN-Wire-22974057,202316336,22974057,75.47,2017-02-08T23:15:08Z
Cerrowire-500-ft-10-1-Green-Stranded-THHN-Wire-112-3875J,202304725,112-3875J,75.47,2017-02-08T23:15:09Z
Southwire-500-ft-10-Green-Stranded-CU-THHN-Wire-22977357,202316481,22977357,75.47,2017-02-08T23:15:10Z
AFC-Cable-Systems-10-2-x-125-ft-Solid-MC-Lite-Cable-2107-32-AFC,205015504,2107-32-AFC,135.0,2017-02-08T23:15:11Z
Southwire-250-ft-10-2-Gray-Solid-UF-B-W-G-Cable-13056755,202316282,13056755,171.0,2017-02-08T23:15:12Z
AFC-Cable-Systems-10-3-x-125-ft-Solid-MC-Lite-Cable-2108-32-AFC,205015506,2108-32-AFC,137.0,2017-02-08T23:15:13Z
Southwire-500-ft-10-Red-Stranded-CU-THHN-Wire-22975757,202316480,22975757,75.47,2017-02-08T23:15:14Z
Cerrowire-500-ft-10-Gauge-Red-Stranded-THHN-Wire-112-3873J,202304724,112-3873J,75.47,2017-02-08T23:15:15Z
Romex-250-ft-12-2-2-Pack-Yellow-CU-SIMpull-NM-B-Wire-28828258,206647943,28828258,113.92,2017-02-08T23:15:16Z
Southwire-2-500-ft-10-Gauge-Yellow-Solid-CU-SIMpull-THHN-Wire-11600405,207100913,11600405,373.11,2017-02-08T23:15:17Z
Southwire-500-ft-12-Red-Solid-THHN-Wire-11589958,203401608,11589958,45.57,2017-02-08T23:15:18Z
Southwire-250-ft-14-2-Gray-Solid-UF-B-W-G-Wire-13054255,202316280,13054255,67.24,2017-02-08T23:15:19Z
Southwire-500-ft-16-2-Gray-Stranded-In-Wall-Speaker-CL3-56911445,202316267,56911445,101.0,2017-02-08T23:15:20Z
Southwire-500-ft-12-Blue-Stranded-THHN-Wire-22967458,203401701,22967458,50.97,2017-02-08T23:15:21Z
Southwire-250-ft-10-3-Solid-CU-MC-Lite-Cable-68584201,202562783,68584201,266.0,2017-02-08T23:15:22Z
Romex-500-ft-8-3-Black-Stranded-CU-SIMpull-NM-B-W-G-Wire-63949205,202316284,63949205,556.0,2017-02-08T23:15:24Z
Romex-250-ft-14-2-2-Pack-White-Solid-CU-SIMpull-NM-B-Wire-28827458,206647951,28827458,74.6,2017-02-08T23:15:25Z
Southwire-250-ft-10-3-Grey-Solid-UF-B-W-G-Wire-13059155,202316283,13059155,223.0,2017-02-08T23:15:26Z
Cerrowire-250-ft-10-3-UF-B-Cable-138-1863G,202304620,138-1863G,223.0,2017-02-08T23:15:27Z
Cerrowire-500-ft-12-2-Black-Stranded-Landscape-Lighting-Wire-241-1602J,202206451,241-1602J,169.0,2017-02-08T23:15:27Z
Southwire-1000-ft-12-2-Gray-Solid-CU-UF-B-W-G-Cable-13055901,205346692,13055901,476.0,2017-02-08T23:15:28Z
Southwire-500-ft-2-Black-Stranded-THHN-Wire-20502101,202316586,20502101,503.0,2017-02-08T23:15:29Z
Southwire-500-ft-12-2-Black-Stranded-Landscape-Lighting-Wire-55213445,202316307,55213445,169.0,2017-02-08T23:15:30Z
Southwire-500-ft-6-Red-Stranded-CU-THHN-Wire-20495801,202316483,20495801,190.0,2017-02-08T23:15:31Z
Cerrowire-500-ft-18-2-Brown-Solid-Thermostat-Wire-210-1002J2,202206426,210-1002J2,46.77,2017-02-08T23:15:32Z
Southwire-500-ft-18-2-Brown-Solid-Thermostat-Wire-64162144,202316306,64162144,46.77,2017-02-08T23:15:33Z
Southwire-250-ft-14-3-Solid-CU-MC-Lite-Cable-68582601,202316558,68582601,145.0,2017-02-08T23:15:34Z
AFC-Cable-Systems-14-3-x-250-ft-Solid-MC-Lite-Cable-2102S42-AFC,205015502,2102S42-AFC,145.0,2017-02-08T23:15:36Z
Southwire-250-ft-18-5-Brown-Solid-CU-Thermostat-Wire-64169644,202316418,64169644,56.24,2017-02-08T23:15:36Z
Cerrowire-250-ft-18-5-Brown-Solid-Thermostat-Wire-210-1005G3,202206429,210-1005G3,56.24,2017-02-08T23:15:38Z
Southwire-500-ft-14-White-Solid-THHN-Wire-11580858,203401597,11580858,32.37,2017-02-08T23:15:39Z
Romex-1000-ft-14-3-Solid-SIMpull-NM-B-Wire-63946801,202316228,63946801,202.48,2017-02-08T23:15:40Z
Southwire-500-ft-8-Red-Stranded-CU-THHN-Wire-20490912,202316482,20490912,128.0,2017-02-08T23:15:41Z
Southwire-250-ft-16-2-Clear-Stranded-CU-Speaker-Wire-55797644,202316423,55797644,57.49,2017-02-08T23:15:42Z
AFC-Cable-Systems-6-3-x-125-ft-BX-AC-90-Cable-1420-32-00,202262383,1420-32-00,376.0,2017-02-08T23:15:43Z
Southwire-500-ft-14-Black-Solid-THHN-Wire-11579058,203401579,11579058,32.37,2017-02-08T23:15:46Z
Romex-500-ft-6-3-Black-Stranded-CU-SIMpull-NM-B-W-G-Wire-63950005,202316285,63950005,838.0,2017-02-08T23:15:47Z
Cerrowire-250-ft-12-3-300-Volt-SJOOW-Cord-Black-282-3603G1,202206496,282-3603G1,199.0,2017-02-08T23:15:48Z
Cerrowire-250-ft-12-3-UF-B-Wire-138-1663G,202304723,138-1663G,137.0,2017-02-08T23:15:49Z
Southwire-250-ft-12-3-Gray-Solid-CU-UF-B-W-G-Wire-13058355,202316479,13058355,137.0,2017-02-08T23:15:50Z
Southwire-500-ft-10-Blue-Stranded-THHN-Wire-22976557,202316224,22976557,80.97,2017-02-08T23:15:51Z
AFC-Cable-Systems-12-3-x-250-ft-BX-AC-90-Solid-Cable-1405N42-AFC,205071012,1405N42-AFC,179.0,2017-02-08T23:15:52Z
Southwire-250-ft-12-3-Solid-CU-BX-AC-Cable-61023201,202562781,61023201,164.09,2017-02-08T23:15:53Z
Southwire-500-ft-6-Green-Stranded-CU-THHN-Wire-20497401,202316411,20497401,190.0,2017-02-08T23:15:54Z
Cerrowire-125-ft-6-3-UF-B-Cable-138-4203D,202525705,138-4203D,306.0,2017-02-08T23:15:55Z
Southwire-500-ft-14-Black-Stranded-THHN-Wire-22955958,203401613,22955958,35.77,2017-02-08T23:15:56Z
Southwire-500-ft-14-White-Stranded-THHN-Wire-22956758,203401615,22956758,35.77,2017-02-08T23:15:57Z
Southwire-500-ft-2-0-Black-Stranded-THHN-Wire-20506202,202316360,20506202,918.0,2017-02-08T23:15:58Z
Cerrowire-250-ft-18-7-Brown-Solid-Thermostat-Wire-210-1007G3,202206430,210-1007G3,84.47,2017-02-08T23:16:00Z
Southwire-250-ft-18-Brown-Stranded-Thermostat-Wire-64170444,202316235,64170444,84.47,2017-02-08T23:16:01Z
Cerrowire-500-ft-3-0-Black-Stranded-THHN-Wire-112-5401J,202304654,112-5401J,1135.0,2017-02-08T23:16:03Z
Southwire-500-ft-3-0-Black-Stranded-CU-THHN-Wire-20507002,202316344,20507002,1135.0,2017-02-08T23:16:05Z
Southwire-500-ft-14-Green-Stranded-THHN-Wire-22959158,203401687,22959158,35.77,2017-02-08T23:16:05Z
Southwire-500-ft-8-White-Stranded-CU-THHN-Wire-20489112,202316338,20489112,128.0,2017-02-08T23:16:07Z
Cerrowire-500-ft-16-2-Black-Stranded-Landscape-Lighting-Cable-241-1202J,202206445,241-1202J,83.97,2017-02-08T23:16:08Z
Cerrowire-500-ft-14-1-Red-Stranded-THHN-Wire-112-3453J,202304639,112-3453J,35.77,2017-02-08T23:16:09Z
Southwire-500-ft-14-Red-Stranded-THHN-Wire-22957558,203401686,22957558,35.77,2017-02-08T23:16:10Z
Southwire-500-ft-3-Black-Stranded-THHN-Wire-24346901,202316571,24346901,376.0,2017-02-08T23:16:13Z
Southwire-500-ft-1-0-Black-Stranded-THHN-Wire-20505402,202316221,20505402,748.0,2017-02-08T23:16:14Z
Southwire-500-ft-8-Stranded-THHN-Wire-Green-20492512,202316573,20492512,128.0,2017-02-08T23:16:15Z
AFC-Cable-Systems-12-4-x-250-ft-BX-AC-90-Solid-Cable-1406N42-AFC,205071013,1406N42-AFC,247.0,2017-02-08T23:16:16Z
Cerrowire-500-ft-18-4-Security-Alarm-Cable-225-1004J,202206435,225-1004J,151.0,2017-02-08T23:16:17Z
Southwire-500-ft-14-Red-Solid-THHN-Wire-11581658,203401599,11581658,32.37,2017-02-08T23:16:18Z
Southwire-500-ft-6-White-Stranded-CU-THHN-Wire-20494101,202316340,20494101,190.0,2017-02-08T23:16:19Z
Southwire-500-ft-18-3-Brown-Solid-Thermostat-Wire-64168845,202316308,64168845,65.74,2017-02-08T23:16:20Z
Cerrowire-500-ft-18-3-Solid-Thermostat-Wire-Brown-210-1003J2,202206427,210-1003J2,65.74,2017-02-08T23:16:21Z
Cerrowire-250-ft-14-3-300-Volt-SJOOW-Cord-Black-282-3403G1,202206494,282-3403G1,160.0,2017-02-08T23:16:22Z
Cerrowire-500-ft-18-2-Security-Alarm-Cable-225-1002J2,202206434,225-1002J2,65.24,2017-02-08T23:16:23Z
Southwire-500-ft-14-Green-Solid-THHN-Wire-11583258,203401602,11583258,32.37,2017-02-08T23:16:24Z
Southwire-500-ft-8-Solid-Bare-Copper-Wire-10632802,202316258,10632802,179.0,2017-02-08T23:16:25Z
Southwire-500-ft-12-Blue-Solid-THHN-Wire-11590758,203408332,11590758,49.57,2017-02-08T23:16:26Z
Southwire-500-ft-14-Blue-Stranded-THHN-Wire-22958358,203401691,22958358,35.77,2017-02-08T23:16:27Z
Southwire-500-ft-12-Yellow-Stranded-THHN-Wire-22969058,203401702,22969058,50.97,2017-02-08T23:16:28Z
AFC-Cable-Systems-12-2-x-250-ft-Stranded-MC-Lite-Cable-2158S42-AFC,205015310,2158S42-AFC,130.0,2017-02-08T23:16:29Z
Southwire-250-ft-12-2-Stranded-MC-Cable-69114701,202316315,69114701,124.0,2017-02-08T23:16:30Z
Southwire-500-ft-12-Orange-Stranded-THHN-Wire-22970858,203401703,22970858,50.97,2017-02-08T23:16:31Z
Cerrowire-500-ft-14-2-Black-Stranded-Landscape-Lighting-Wire-241-1402J,202206448,241-1402J,142.0,2017-02-08T23:16:31Z
Southwire-500-ft-14-2-Black-Stranded-Landscape-Lighting-Cable-55213245,202316236,55213245,142.0,2017-02-08T23:16:32Z
Southwire-500-ft-Red-White-20-2-Twisted-Bell-Wire-56750045,202316488,56750045,36.57,2017-02-08T23:16:33Z
Cerrowire-500-ft-20-2-Twisted-Bell-Wire-206-0102J1,202206413,206-0102J1,36.57,2017-02-08T23:16:34Z
Southwire-250-ft-18-2-Black-Stranded-Lamp-Wire-49910344,202316301,49910344,43.77,2017-02-08T23:16:35Z
Cerrowire-250-ft-18-2-Stranded-Lamp-Wire-Black-252-1001G3,202206453,252-1001G3,43.77,2017-02-08T23:16:36Z
Southwire-500-ft-18-7-Black-UL-Burial-Sprinkler-Wire-49273645,202316415,49273645,140.0,2017-02-08T23:16:37Z
Cerrowire-250-ft-16-3-300-Volt-SJOOW-Cord-Black-282-1203G1,202206492,282-1203G1,104.0,2017-02-08T23:16:37Z
Southwire-500-ft-10-Orange-Stranded-CU-THHN-Wire-22979957,202316514,22979957,75.47,2017-02-08T23:16:38Z
Southwire-500-ft-10-Brown-Stranded-CU-THHN-Wire-22980757,202316513,22980757,75.47,2017-02-08T23:16:39Z
Cerrowire-250-ft-10-3-600-Volt-Black-SOOW-Cord-283-3803G1,202206505,283-3803G1,287.0,2017-02-08T23:16:40Z
Southwire-250-ft-18-2-White-Stranded-Lamp-Wire-49909544,202316302,49909544,43.77,2017-02-08T23:16:42Z
Cerrowire-250-ft-18-2-Stranded-Lamp-Wire-White-252-1002G3,202206454,252-1002G3,43.77,2017-02-08T23:16:44Z
Cerrowire-500-ft-22-4-Grey-Security-Alarm-Wire-225-0024J2,202206432,225-0024J2,80.47,2017-02-08T23:16:45Z
Southwire-500-ft-22-4-Gray-Stranded-CL3R-Shielded-Security-Cable-57572444,202316269,57572444,80.47,2017-02-08T23:16:47Z
Cerrowire-500-ft-18-7-Black-Sprinkler-Wire-240-1007J,202206442,240-1007J,140.0,2017-02-08T23:16:48Z
AFC-Cable-Systems-10-3-x-125-ft-BX-AC-90-Armored-Electrical-Cable-1408N32-AFC,205071021,1408N32-AFC,138.0,2017-02-08T23:16:49Z
Cerrowire-250-ft-16-2-Stranded-Lamp-Cord-Black-252-1201G3,202206458,252-1201G3,64.47,2017-02-08T23:16:50Z
Southwire-500-ft-1-Black-Stranded-THHN-20504702,202316570,20504702,686.0,2017-02-08T23:16:52Z
Southwire-500-ft-16-2-Black-Stranded-CU-Landscape-Lighting-Cable-55213145,202316471,55213145,83.97,2017-02-08T23:16:53Z
Southwire-500-ft-12-Brown-Stranded-THHN-Wire-22971658,203401704,22971658,50.97,2017-02-08T23:16:54Z
Romex-500-ft-8-2-Black-Stranded-CU-SIMpull-NM-B-Wire-28893615,202316462,28893615,381.0,2017-02-08T23:16:55Z
Southwire-500-ft-14-Yellow-Stranded-THHN-Wire-22960958,203401693,22960958,35.77,2017-02-08T23:16:56Z
Southwire-500-ft-14-Yellow-Solid-THHN-Wire-11584058,203408344,11584058,42.57,2017-02-08T23:16:57Z
AFC-Cable-Systems-12-3-x-500-ft-MC-Lite-Cable-2105S45-00,202286725,2105S45-00,373.0,2017-02-08T23:16:58Z
Southwire-250-ft-12-2-Black-White-Green-Stranded-THHN-Tri-Wire-59318301,206205896,59318301,84.97,2017-02-08T23:17:00Z
AFC-Cable-Systems-12-2-x-500-ft-MC-Lite-Cable-2104S45-00,202286731,2104S45-00,224.0,2017-02-08T23:17:01Z
Southwire-500-ft-10-Yellow-Stranded-THHN-Wire-22978157,202316574,22978157,75.47,2017-02-08T23:17:01Z
Southwire-500-ft-14-Orange-Stranded-THHN-Wire-22961758,203401694,22961758,35.77,2017-02-08T23:17:02Z
Southwire-500-ft-14-Orange-Solid-THHN-Wire-11585758,203408341,11585758,42.57,2017-02-08T23:17:03Z
Southwire-250-ft-14-2-2-White-Soild-Cu-NM-B-Wire-55048255,203641719,55048255,135.0,2017-02-08T23:17:04Z
Southwire-500-ft-18-White-Solid-TFN-Wire-26978706,206471675,26978706,43.17,2017-02-08T23:17:05Z
Cerrowire-500-ft-10-2-UF-B-Wire-138-1802J,202304787,138-1802J,341.0,2017-02-08T23:17:07Z
Southwire-500-ft-10-2-Gray-Solid-UF-B-W-G-wire-13056717,202316608,13056717,341.0,2017-02-08T23:17:08Z
Romex-500-ft-6-2-Black-Stranded-CU-SIMpull-NM-B-Wire-28894405,202316463,28894405,552.0,2017-02-08T23:17:09Z
Cerrowire-500-ft-18-10-Black-Solid-Sprinkler-Wire-240-1010J,202206443,240-1010J,262.0,2017-02-08T23:17:10Z
Southwire-500-ft-18-10-Black-Burial-UL-Sprinkler-Wire-49270245,202316416,49270245,262.0,2017-02-08T23:17:12Z
Cerrowire-250-ft-18-2-300-Volt-SJOOW-Cord-Black-282-1002G1,202206489,282-1002G1,76.68,2017-02-08T23:17:13Z
Southwire-500-ft-14-Brown-Stranded-THHN-Wire-22962558,203401695,22962558,35.77,2017-02-08T23:17:15Z
Cerrowire-250-ft-12-2-2-NM-B-Wire-Yellow-147-1664G,202304607,147-1664G,165.0,2017-02-08T23:17:16Z
Southwire-250-ft-12-2-2-Solid-SIMpull-NM-B-Wire-55048455,202316262,55048455,201.0,2017-02-08T23:17:17Z
Cerrowire-500-ft-18-4-Sprinkler-Wire-Black-240-1004J,202206436,240-1004J,106.0,2017-02-08T23:17:18Z
Southwire-500-ft-18-4-Black-UL-Sprinkler-Wire-49276945,202316413,49276945,106.0,2017-02-08T23:17:19Z
Cerrowire-250-ft-16-2-Stranded-Lamp-Cord-White-252-1202G3,202206459,252-1202G3,64.47,2017-02-08T23:17:20Z
Southwire-500-ft-14-Blue-Solid-THHN-Wire-11582458,203408337,11582458,34.77,2017-02-08T23:17:21Z
Southwire-250FT-6-3-Gray-Stranded-Copper-UF-B-Cable-14782703,202316607,14782703,806.0,2017-02-08T23:17:23Z
Southwire-250-ft-12-2-Black-White-Green-Solid-THHN-Tri-Wire-59318201,206205907,59318201,78.47,2017-02-08T23:17:24Z
Southwire-500-ft-12-Stranded-Purple-Stranded-THHN-Wire-23212401,202316454,23212401,61.99,2017-02-08T23:17:25Z
Cerrowire-250-ft-18-2-Stranded-Lamp-Wire-Brown-252-1008G3,202206455,252-1008G3,43.77,2017-02-08T23:17:27Z
Southwire-250-ft-18-2-Brown-Stranded-Lamp-Wire-49908744,202316303,49908744,43.77,2017-02-08T23:17:28Z
Cerrowire-500-ft-22-2-Grey-Security-Alarm-Wire-225-0022J,202206431,225-0022J,49.57,2017-02-08T23:17:29Z
Southwire-500-ft-22-2-Gray-Stranded-CL3R-Shielded-Security-Cable-57572144,202316268,57572144,49.57,2017-02-08T23:17:31Z
Cerrowire-250-ft-18-2-Stranded-Lamp-Wire-Silver-252-1015G4,206616467,252-1015G4,43.77,2017-02-08T23:17:32Z
Southwire-250-ft-18-Silver-Stranded-CU-Lamp-Wire-56176344,202316595,56176344,43.77,2017-02-08T23:17:33Z
Romex-1000-ft-10-3-Solid-SIMpull-NM-B-Wire-63948401,202316230,63948401,526.09,2017-02-08T23:17:34Z
Southwire-500-ft-12-Orange-Solid-THHN-Wire-11593158,203408335,11593158,65.0,2017-02-08T23:17:35Z
Cerrowire-250-ft-18-2-Stranded-Lamp-Wire-Clear-252-1012G3,202206456,252-1012G3,43.77,2017-02-08T23:17:37Z
Southwire-250-ft-18-2-Clear-Stranded-Lamp-Wire-49912944,202316305,49912944,43.77,2017-02-08T23:17:38Z
Cerrowire-250-ft-18-3-300-Volt-SJOOW-Cord-Black-282-1003G1,202206490,282-1003G1,76.97,2017-02-08T23:17:39Z
Southwire-500-ft-12-Yellow-Solid-CU-THHN-Wire-11592358,203408336,11592358,70.0,2017-02-08T23:17:39Z
Southwire-500-ft-18-5-Black-UL-Burial-Sprinkler-Wire-49275145,202316414,49275145,126.0,2017-02-08T23:17:40Z
Cerrowire-500-ft-18-5-Black-Sprinkler-Wire-240-1005J,202206439,240-1005J,126.0,2017-02-08T23:17:42Z
Southwire-125-ft-10-2-X-Solid-CU-BX-AC-Cable-61029805,202967353,61029805,98.18,2017-02-08T23:17:43Z
